Log for commodities grouping instance I21
SCC;9;Number of TR;88
Maximum commodity time; 555 minutes;dk;30;MIP solution time limit;3600 s
commodity iteration;iteration;Lower Bound;Best Lower bound;Upper bound;RelativeGap;infactibility;type;SKid;CGinitial;CG;time (s);Picks
1;11;325.0;325.0;402;23.692307692307693;360;1;12;12;14;4.711 
2;16;345.0;345.0;402;16.52173913043478;269;2;7;14;16;10.954 
3;18;369.0;369.0;402;8.94308943089431;300;1;2;16;18;9.208 
4;19;370.0;370.0;402;8.64864864864865;270;1;10;18;20;11.454 
5;21;381.0;381.0;402;5.511811023622047;210;2;6;20;22;26.967 
6;23;389.00000000000006;389.00000000000006;402;3.3419023136246637;210;1;11;22;24;369.093 
