Log for commodities grouping instance I09
SCC;4;Number of TR;30
Maximum commodity time; 290 minutes;dk;30;MIP solution time limit;3600 s
commodity iteration;iteration;Lower Bound;Best Lower bound;Upper bound;RelativeGap;infactibility;type;SKid;CGinitial;CG;time (s);Picks
1;3;229.0;229.0;298;30.131004366812224;240;1;5;5;7;0.22 
2;4;229.0;229.0;298;30.131004366812224;240;2;1;7;9;0.133 
3;7;260.0;260.0;298;14.615384615384617;90;1;3;9;11;0.406 
4;8;254.0;260.0;298;14.615384615384617;90;1;4;11;13;0.748 
