Log for instance I26
Total time (s);21801.351;Iterations;24
SCC;12;Number of TR;97
Maximum commodity time; 510 minutes;dk;30;;MIP solution time limit;3600 s
Initial grouping;Final grouping
16;34
Log for commodities grouping
commodity iteration;iteration;Lower Bound;Best Lower Bound;Upper Bound;RelativeGap;infactibility;type;SKid;CGinitial;CG;time (s);Picks
1;10;1064.048096192385;1068.5416666666667;1295;21.193215051666982;330;1;12;16;18;41.34
2;11;1066.4227642276423;1068.5416666666667;1295;21.193215051666982;330;1;15;18;20;95.584
3;13;1148.0679698453096;1148.7821046477209;1295;12.728079133607107;210;1;13;20;22;339.509
4;14;1158.4386273240218;1158.4386273240218;1295;11.788399441706565;168;1;14;22;24;486.84
5;16;1188.3771929824563;1188.3771929824563;1295;8.972135080273096;192;2;1;24;26;417.299
6;17;1189.6252130131802;1189.6252130131802;1295;8.857813858863826;99;2;12;26;28;1244.782
7;20;1215.1293733179548;1215.1293733179548;1295;6.5730142350156155;120;1;18;28;30;1647.742
8;21;1233.8;1233.8;1295;4.9602852974550204;90;1;2;30;32;2097.508
9;23;1236.5529513093516;1236.5529513093516;1295;4.726611070618568;95;2;11;32;34;1900.748
Log for partial expanded
iteration;Lower Bound;Best Lower Bound;Upper Bound;RelativeGap;NEinitial;NEfinal;number of infeasible arcs;time (s); k iteration; infactibility; SKid;Picks
1;650.0;650.0;1295;99.23076923076923;71;95;13;4.554;16;330;15
2;769.0;769.0;1295;68.40052015604682;95;118;15;6.693;16;330;12
3;798.2771428571428;798.2771428571428;1295;62.22436175048408;118;132;9;12.468;16;330;15
4;912.0;912.0;1295;41.99561403508772;132;144;9;13.068;16;330;12
5;985.0;985.0;1295;31.472081218274113;144;160;11;8.656;16;330;12
6;1050.0;1050.0;1295;23.333333333333332;160;176;10;20.529;16;330;12
7;1052.0;1052.0;1295;23.098859315589355;176;179;2;27.27;16;330;12
8;1062.3333333333335;1062.3333333333335;1295;21.901474741135846;179;190;6;28.755;16;330;12
9;1068.5416666666667;1068.5416666666667;1295;21.193215051666982;190;196;3;47.146;16;330;12
10;1064.048096192385;1068.5416666666667;1295;21.193215051666982;202;210;5;41.34;18;330;12
11;1066.4227642276423;1068.5416666666667;1295;21.193215051666982;216;225;5;95.584;20;330;15
12;1148.7821046477209;1148.7821046477209;1295;12.728079133607107;225;240;9;167.024;20;270;14
13;1148.0679698453096;1148.7821046477209;1295;12.728079133607107;246;250;2;339.509;22;210;13
14;1158.4386273240218;1158.4386273240218;1295;11.788399441706565;255;262;4;486.84;24;168;14
15;1182.0035001579474;1182.0035001579474;1295;9.559743251771522;262;270;5;885.697;24;162;1
16;1188.3771929824563;1188.3771929824563;1295;8.972135080273096;275;278;2;417.299;26;192;1
17;1189.6252130131802;1189.6252130131802;1295;8.857813858863826;284;293;5;1244.782;28;99;12
18;1204.8666666666666;1204.8666666666666;1295;7.4807724229513735;293;303;7;2283.312;28;150;11
19;1213.9999999999995;1213.9999999999995;1295;6.672158154860007;303;309;4;3630.765;28;150;11
20;1215.1293733179548;1215.1293733179548;1295;6.5730142350156155;314;322;4;1647.742;30;120;18
21;1233.8;1233.8;1295;4.9602852974550204;327;331;3;2097.508;32;90;2
22;1233.5402298850577;1233.8;1295;4.9602852974550204;331;338;4;2719.79;32;90;7
23;1236.5529513093516;1236.5529513093516;1295;4.726611070618568;344;350;4;1900.748;34;95;11
