Upperbound Solution for instance I16 iteration 18
SCC;4;Number of TR;22
Maximum commodity time; 350 minutes ;dk;30;;MIP solution time limit;3600 s
SCC;Number of pickups;pickups time
2;2;[720, 605]
3;2;[665, 770]
4;2;[485, 575]
5;2;[430, 730]
Routes=;6.0


route 1
Commodities=,[1 4 5 10 15 16]
node,time
1,410
5,430,Int64[]
5,435,Int64[]
5,440,Int64[]
5,445,Int64[]
5,450,Int64[]
5,455,Int64[]
5,460,Int64[]
5,465,Int64[]
5,470,Int64[]
5,475,Int64[]
5,480,Int64[]
5,485,Int64[]
5,490,Int64[]
5,495,Int64[]
5,500,Int64[]
5,505,[3]
5,510,Int64[]
5,515,Int64[]
5,520,Int64[]
5,525,Int64[]
5,530,Int64[]
5,535,Int64[]
5,540,Int64[]
5,545,Int64[]
5,550,Int64[]
5,555,Int64[]
5,560,Int64[]
5,565,Int64[]
5,570,Int64[]
5,575,Int64[]
5,580,Int64[]
5,585,Int64[]
5,590,Int64[]
5,595,[4, 10]
2,605,[1, 5, 15, 16]
1,625,Int64[]
duration=,215

route 2
Commodities=,[3;;]
node,time
1,450
4,485,Int64[]
4,490,Int64[]
4,495,Int64[]
4,500,Int64[]
4,505,[3]
1,540,Int64[]
duration=,90

route 3
Commodities=,[7 19 20]
node,time
1,540
4,575,Int64[]
4,580,Int64[]
4,585,Int64[]
4,590,Int64[]
4,595,[4, 10]
4,600,Int64[]
4,605,[1, 5, 15, 16]
4,610,Int64[]
4,615,Int64[]
4,620,Int64[]
4,625,Int64[]
4,630,Int64[]
4,635,Int64[]
4,640,Int64[]
4,645,Int64[]
4,650,Int64[]
4,655,Int64[]
4,660,Int64[]
4,665,[7, 19, 20]
1,700,[2]
duration=,160

route 4
Commodities=,[2;;]
node,time
1,635
3,665,[7, 19, 20]
3,670,Int64[]
3,675,Int64[]
3,680,Int64[]
3,685,Int64[]
3,690,Int64[]
3,695,Int64[]
3,700,[2]
1,730,Int64[]
duration=,95

route 5
Commodities=,[8 9 11 12 13 14 21 22]
node,time
1,700
2,720,[13, 14]
5,730,Int64[]
5,735,Int64[]
5,740,Int64[]
5,745,Int64[]
5,750,Int64[]
5,755,Int64[]
5,760,Int64[]
5,765,Int64[]
5,770,[6, 17, 18]
5,775,Int64[]
5,780,Int64[]
5,785,Int64[]
5,790,Int64[]
5,795,Int64[]
5,800,Int64[]
5,805,Int64[]
5,810,Int64[]
5,815,Int64[]
5,820,Int64[]
5,825,Int64[]
5,830,Int64[]
5,835,Int64[]
5,840,Int64[]
5,845,Int64[]
5,850,Int64[]
5,855,Int64[]
5,860,Int64[]
5,865,Int64[]
5,870,Int64[]
5,875,Int64[]
5,880,Int64[]
5,885,Int64[]
5,890,Int64[]
5,895,Int64[]
5,900,Int64[]
5,905,Int64[]
5,910,Int64[]
5,915,Int64[]
5,920,Int64[]
5,925,Int64[]
5,930,Int64[]
5,935,Int64[]
5,940,[8, 9, 11, 12, 21, 22]
1,960,Int64[]
duration=,260

route 6
Commodities=,[6 17 18]
node,time
1,740
3,770,[6, 17, 18]
1,800,Int64[]
duration=,60

