Upperbound Solution for instance I17 iteration 12
SCC;4;Number of TR;17
Maximum commodity time; 375 minutes ;dk;30;;MIP solution time limit;3600 s
SCC;Number of pickups;pickups time
2;2;[435, 695]
3;2;[415, 695]
4;2;[655, 705]
5;1;[590]
Routes=;5.0


route 1
Commodities=,[2;;]
node,time
1,380
3,415,Int64[]
3,420,Int64[]
3,425,Int64[]
3,430,Int64[]
3,435,Int64[]
3,440,Int64[]
3,445,Int64[]
3,450,Int64[]
3,455,[2]
1,490,Int64[]
duration=,110

route 2
Commodities=,[1 3 5 9 12 13 15 16 17]
node,time
1,415
2,435,Int64[]
2,440,Int64[]
2,445,Int64[]
2,450,Int64[]
2,455,[2]
2,460,Int64[]
2,465,Int64[]
2,470,Int64[]
2,475,Int64[]
2,480,Int64[]
2,485,Int64[]
2,490,Int64[]
2,495,Int64[]
2,500,Int64[]
2,505,Int64[]
2,510,Int64[]
2,515,Int64[]
2,520,Int64[]
2,525,Int64[]
2,530,Int64[]
2,535,Int64[]
2,540,Int64[]
2,545,Int64[]
2,550,Int64[]
2,555,Int64[]
2,560,Int64[]
2,565,Int64[]
2,570,Int64[]
2,575,Int64[]
2,580,Int64[]
2,585,Int64[]
2,590,Int64[]
2,595,Int64[]
2,600,Int64[]
2,605,Int64[]
2,610,[4]
2,615,Int64[]
2,620,Int64[]
2,625,Int64[]
2,630,Int64[]
2,635,Int64[]
2,640,Int64[]
2,645,[1, 5, 15]
4,655,[3, 9, 12, 13, 16, 17]
1,675,Int64[]
duration=,260

route 3
Commodities=,[4;;]
node,time
1,545
5,590,Int64[]
5,595,Int64[]
5,600,Int64[]
5,605,Int64[]
5,610,[4]
1,655,[3, 9, 12, 13, 16, 17]
duration=,110

route 4
Commodities=,[6;;]
node,time
1,660
3,695,[6, 14]
1,730,Int64[]
duration=,70

route 5
Commodities=,[7 8 10 11 14]
node,time
1,675
2,695,[6, 14]
4,705,Int64[]
4,710,Int64[]
4,715,Int64[]
4,720,Int64[]
4,725,Int64[]
4,730,Int64[]
4,735,Int64[]
4,740,Int64[]
4,745,Int64[]
4,750,Int64[]
4,755,Int64[]
4,760,Int64[]
4,765,Int64[]
4,770,Int64[]
4,775,Int64[]
4,780,Int64[]
4,785,Int64[]
4,790,Int64[]
4,795,Int64[]
4,800,Int64[]
4,805,Int64[]
4,810,Int64[]
4,815,Int64[]
4,820,Int64[]
4,825,Int64[]
4,830,Int64[]
4,835,Int64[]
4,840,Int64[]
4,845,Int64[]
4,850,Int64[]
4,855,Int64[]
4,860,Int64[]
4,865,Int64[]
4,870,Int64[]
4,875,Int64[]
4,880,Int64[]
4,885,Int64[]
4,890,Int64[]
4,895,Int64[]
4,900,Int64[]
4,905,Int64[]
4,910,Int64[]
4,915,Int64[]
4,920,Int64[]
4,925,Int64[]
4,930,Int64[]
4,935,[7, 8, 10, 11]
1,955,Int64[]
duration=,280

