Upperbound Solution for instance I13 iteration 19
SCC;4;Number of TR;24
Maximum commodity time; 900 minutes ;dk;30;;MIP solution time limit;3600 s
SCC;Number of pickups;pickups time
2;2;[1065, 795]
3;2;[270, 735]
4;2;[615, 1365]
5;3;[195, 315, 840]
Routes=;6.0
The Routes tracking was not possible

route 1
Commodities=,[1 3 21 23 25 27]
node,time
1,165
5,195,Int64[]
5,210,Int64[]
5,225,Int64[]
3,270,Int64[]
3,285,Int64[]
3,300,Int64[]
3,315,Int64[]
3,330,Int64[]
3,345,Int64[]
3,360,Int64[]
3,375,Int64[]
3,390,Int64[]
3,405,Int64[]
3,420,Int64[]
3,435,Int64[]
3,450,Int64[]
3,465,Int64[]
3,480,Int64[]
3,495,Int64[]
3,510,Int64[]
3,525,Int64[]
3,540,Int64[]
3,555,Int64[]
3,570,Int64[]
3,585,Int64[]
3,600,Int64[]
3,615,Int64[]
3,630,Int64[]
3,645,Int64[]
3,660,Int64[]
3,675,[3, 9, 10]
3,690,[4, 23, 24]
3,705,Int64[]
3,720,Int64[]
3,735,[2, 19, 20]
2,795,[1, 21, 22]
1,840,Int64[]
duration=,675

route 2
Commodities=,[2 4 6 22 24 26 28 29 30]
node,time
1,285
5,315,Int64[]
5,330,Int64[]
5,345,Int64[]
5,360,Int64[]
5,375,Int64[]
5,390,Int64[]
5,405,Int64[]
5,420,Int64[]
5,435,Int64[]
5,450,Int64[]
5,465,Int64[]
5,480,Int64[]
5,495,Int64[]
5,510,Int64[]
5,525,Int64[]
5,540,Int64[]
5,555,Int64[]
5,570,Int64[]
5,585,Int64[]
5,600,Int64[]
5,615,Int64[]
5,630,Int64[]
5,645,Int64[]
5,660,Int64[]
5,675,[3, 9, 10]
5,690,[4, 23, 24]
3,735,[2, 19, 20]
2,795,[1, 21, 22]
1,840,Int64[]
duration=,555

route 3
Commodities=,[5 11 12]
node,time
1,480
4,615,Int64[]
4,630,Int64[]
4,645,Int64[]
4,660,Int64[]
4,675,[3, 9, 10]
1,810,Int64[]
duration=,330

route 4
Commodities=,[10 19 20]
node,time
1,810
5,840,Int64[]
5,855,Int64[]
5,870,Int64[]
5,885,Int64[]
5,900,Int64[]
5,915,Int64[]
5,930,Int64[]
5,945,Int64[]
5,960,Int64[]
5,975,Int64[]
5,990,Int64[]
5,1005,Int64[]
5,1020,Int64[]
5,1035,Int64[]
5,1050,Int64[]
5,1065,Int64[]
5,1080,Int64[]
5,1095,Int64[]
5,1110,Int64[]
5,1125,Int64[]
5,1140,Int64[]
5,1155,Int64[]
5,1170,[8, 17, 18]
1,1200,[5, 6, 13, 14, 15, 16]
duration=,390

route 5
Commodities=,[7 15 16]
node,time
1,1020
2,1065,Int64[]
2,1080,Int64[]
2,1095,Int64[]
2,1110,Int64[]
2,1125,Int64[]
2,1140,Int64[]
2,1155,Int64[]
2,1170,[8, 17, 18]
2,1185,Int64[]
2,1200,[5, 6, 13, 14, 15, 16]
1,1245,Int64[]
duration=,225

route 6
Commodities=,[9 13 14]
node,time
1,1230
4,1365,[7, 11, 12]
1,1500,Int64[]
duration=,270

